movieId,title,genres,imdbId,tmdbId,poster_url
1,Toy Story (1995),Animation|Children's|Comedy,114709,862,https://image.tmdb.org/t/p/original/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg
2,Jumanji (1995),Adventure|Children's|Fantasy,113497,8844,https://image.tmdb.org/t/p/original/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg
3,Grumpier Old Men (1995),Comedy|Romance,113228,15602,https://image.tmdb.org/t/p/original/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg
4,Waiting to Exhale (1995),Comedy|Drama,114885,31357,https://image.tmdb.org/t/p/original/qJU6rfil5xLVb5HpJsmmfeSK254.jpg
5,Father of the Bride Part II (1995),Comedy,113041,11862,https://image.tmdb.org/t/p/original/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg
6,Heat (1995),Action|Crime|Thriller,113277,949,https://image.tmdb.org/t/p/original/umSVjVdbVwtx5ryCA2QXL44Durm.jpg
7,Sabrina (1995),Comedy|Romance,114319,11860,https://image.tmdb.org/t/p/original/z1oNjotUI7D06J4LWQFQzdIuPnf.jpg
8,Tom and Huck (1995),Adventure|Children's,112302,45325,https://image.tmdb.org/t/p/original/vIG8hWOa7DyLMRiurzKwVAnIYoU.jpg
9,Sudden Death (1995),Action,114576,9091,https://image.tmdb.org/t/p/original/1pylO6YX5XdOA6QCc5IRxrrffkg.jpg
10,GoldenEye (1995),Action|Adventure|Thriller,113189,710,https://image.tmdb.org/t/p/original/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg
11,"American President, The (1995)",Comedy|Drama|Romance,112346,9087,https://image.tmdb.org/t/p/original/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg
12,Dracula: Dead and Loving It (1995),Comedy|Horror,112896,12110,https://image.tmdb.org/t/p/original/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg
13,Balto (1995),Animation|Children's,112453,21032,https://image.tmdb.org/t/p/original/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg
14,Nixon (1995),Drama,113987,10858,https://image.tmdb.org/t/p/original/cz2MTGr2wpDZLirgV2rGHBdA2t3.jpg
15,Cutthroat Island (1995),Action|Adventure|Romance,112760,1408,https://image.tmdb.org/t/p/original/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg
16,Casino (1995),Drama|Thriller,112641,524,https://image.tmdb.org/t/p/original/4TS5O1IP42bY2BvgMxL156EENy.jpg
17,Sense and Sensibility (1995),Drama|Romance,114388,4584,https://image.tmdb.org/t/p/original/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg
18,Four Rooms (1995),Thriller,113101,5,https://image.tmdb.org/t/p/original/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg
19,Ace Ventura: When Nature Calls (1995),Comedy,112281,9273,https://image.tmdb.org/t/p/original/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg
20,Money Train (1995),Action,113845,11517,https://image.tmdb.org/t/p/original/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg
21,Get Shorty (1995),Action|Comedy|Drama,113161,8012,https://image.tmdb.org/t/p/original/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg
22,Copycat (1995),Crime|Drama|Thriller,112722,1710,https://image.tmdb.org/t/p/original/oMgwJb016znNZcpDR20eXxZoW8A.jpg
23,Assassins (1995),Thriller,112401,9691,https://image.tmdb.org/t/p/original/kgqS4jn60E8UIExfceMUExB3ZKK.jpg
24,Powder (1995),Drama|Sci-Fi,114168,12665,https://image.tmdb.org/t/p/original/kImKATjY4EsK5MDgrmpJdGbQEbq.jpg
25,Leaving Las Vegas (1995),Drama|Romance,113627,451,https://image.tmdb.org/t/p/original/wIfP6uLXD9Ptu68SyRx8WuSNNSK.jpg
26,Othello (1995),Drama,114057,16420,https://image.tmdb.org/t/p/original/nNP3FDHUIyztw5eq5AejZKzqXbz.jpg
27,Now and Then (1995),Drama,114011,9263,https://image.tmdb.org/t/p/original/q31Ks8oAmM4Nq2CcGjyYYpdBAmh.jpg
28,Persuasion (1995),Romance,114117,17015,https://image.tmdb.org/t/p/original/10hycdhFLq3M3y0ONxIMSiY8Mrs.jpg
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,112682,902,https://image.tmdb.org/t/p/original/whwT3Q9JxbAYzEc3t7uYYcCbTMf.jpg
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,115012,37557,https://image.tmdb.org/t/p/original/tzG1UxUSfPACREjgBrsPDRUvneH.jpg
31,Dangerous Minds (1995),Drama,112792,9909,https://image.tmdb.org/t/p/original/yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg
